ok	lemma	pos	rank	current	suggested	note
y	extremo	sustantivo	2840	Punto más lejos o final de algo.	Punto más lejos o final de algo.	agent ok
y	contexto	sustantivo	2842	Situación que rodea y explica un hecho.	Situación que rodea y explica un hecho.	agent ok
y	tranquilidad	sustantivo	2843	Estado sin ruido ni preocupación.	Estado sin ruido ni preocupación.	agent ok
y	ministerio	sustantivo	2846	Organismo que dirige un sector del gobierno.	Organismo que dirige un sector del gobierno.	agent ok
y	fórmula	sustantivo	2847	Manera concreta de resolver un problema.	Manera concreta de resolver un problema.	agent ok
y	online	adjetivo	2848	Que funciona por medio de internet.	Que funciona por medio de internet.	agent ok
y	militante	sustantivo	2851	Persona que pertenece a un partido o causa.	Persona que pertenece a un partido o causa.	agent ok
y	constitucional	adjetivo	2852	Que se ajusta a las normas básicas del país.	Que está de acuerdo con la ley más alta de un país.	agent ok
y	café	sustantivo	2853	Bebida oscura hecha con semillas tostadas.	Bebida oscura y caliente que se toma para no tener sueño.	agent ok
y	ajuste	sustantivo	2855	Cambio que se hace para que algo encaje mejor.	Cambio pequeño para que algo funcione o quede mejor.	agent ok
y	oficialmente	adverbio	2856	De manera formal y por autoridad reconocida.	De manera formal y por autoridad reconocida.	agent ok
y	pelo	sustantivo	2857	Hilo fino que crece en la piel de personas y animales.	Lo que crece sobre la piel de personas y animales.	agent fix: 14 words, over the 12-word limit
y	fan	sustantivo	2862	Persona que gusta mucho de alguien o algo.	Persona a quien le gusta mucho un artista o un equipo.	agent fix: 'gusta de alguien' is non-standard grammar for this meaning
y	circuito	sustantivo	2864	Camino cerrado que sirve para carreras de vehículos.	Camino cerrado que sirve para carreras de vehículos.	agent ok
y	gerente	sustantivo	2866	Persona que dirige una empresa o negocio.	Persona que dirige una empresa o negocio.	agent ok
y	concreto	adjetivo	2867	Que tiene forma precisa y no es general.	Que tiene forma precisa y no es general.	agent ok
y	edil	sustantivo	2868	Miembro de un ayuntamiento que gobierna una ciudad.	Miembro de un ayuntamiento que gobierna una ciudad.	agent ok
y	set	sustantivo	2869	Lugar donde se hace una película o programa.	Lugar donde se hace una película o programa.	agent ok
y	profundo	adjetivo	2873	Que tiene gran distancia entre la superficie y el fondo.	Que tiene gran distancia entre la superficie y el fondo.	agent ok
y	activista	sustantivo	2875	Persona que trabaja por un cambio social o político.	Persona que trabaja por un cambio social o político.	agent ok
y	impresión	sustantivo	2876	Sensación que algo produce en la mente o el ánimo.	Sensación que algo produce en la mente o el ánimo.	agent ok
y	gasolina	sustantivo	2880	Líquido que se usa como combustible en motores.	Líquido que se usa como combustible en motores.	agent ok
y	negativo	adjetivo	2882	Que muestra ausencia o falta de algo deseado.	Que muestra ausencia o falta de algo deseado.	agent ok
y	bienestar	sustantivo	2886	Estado de salud y felicidad física y mental.	Estado de salud y felicidad física y mental.	agent ok
y	gigante	adjetivo	2888	Que tiene un tamaño mucho mayor de lo normal.	Que tiene un tamaño mucho mayor de lo normal.	agent ok
y	cable	sustantivo	2889	Hilo de metal que conduce electricidad.	Hilo de metal que conduce electricidad.	agent ok
y	nacimiento	sustantivo	2890	Momento en que una persona o animal empieza a vivir.	Momento en que una persona o animal empieza a vivir.	agent ok
y	inundación	sustantivo	2891	Agua que cubre un terreno de forma repentina.	Gran cantidad de agua que cubre calles o campos.	agent ok
y	disputa	sustantivo	2893	Discusión fuerte entre personas o grupos.	Discusión fuerte entre personas o grupos.	agent ok
y	unión	sustantivo	2898	Acción de poner cosas o personas juntas.	Acción de poner cosas o personas juntas.	agent ok
y	víspera	sustantivo	2899	Día anterior a otro importante.	Día anterior a otro importante.	agent ok
y	incertidumbre	sustantivo	2900	Situación en que no se sabe qué pasará.	Situación en que no se sabe qué pasará.	agent ok
y	queja	sustantivo	2901	Expresión de malestar o enfado.	Palabras con las que alguien muestra que algo no le gusta.	agent ok
y	masa	sustantivo	2904	Cantidad grande de materia sólida.	Cantidad grande de materia sólida.	agent ok
y	aparato	sustantivo	2907	Máquina o dispositivo para una función.	Máquina o dispositivo para una función.	agent ok
y	fila	sustantivo	2908	Línea de personas o cosas una detrás de otra.	Línea de personas o cosas una detrás de otra.	agent ok
y	atacar	verbo	2909	Actuar contra alguien o algo con violencia.	Actuar contra alguien o algo con violencia.	agent ok
y	gabinete	sustantivo	2912	Mueble con puertas para guardar objetos.	Grupo de ministros que dirige el gobierno con el presidente.	agent ok
y	habitación	sustantivo	2915	Espacio cerrado en edificio para vivir o dormir.	Cada espacio cerrado de una casa, sobre todo para dormir.	agent fix: Ungrammatical ('en edificio' lacks article)
y	reunir	verbo	2916	Poner personas o cosas en un mismo lugar.	Poner personas o cosas en un mismo lugar.	agent ok
y	entregar	verbo	2917	Dar algo a alguien que lo recibe.	Dar algo a alguien que lo recibe.	agent ok
y	intensidad	sustantivo	2919	Fuerza o grado alto de algo como luz o sonido.	Fuerza o grado alto de algo como luz o sonido.	agent ok
y	marcado	adjetivo	2920	Que se nota con claridad.	Que se nota con claridad.	agent ok
y	peligroso	adjetivo	2922	Que puede causar daño o accidente.	Que puede causar daño o accidente.	agent ok
y	bloque	sustantivo	2926	Grupo grande y unido de edificios o personas.	Grupo grande y unido de edificios o personas.	agent ok
y	asalto	sustantivo	2928	Ataque para robar o hacer mal a alguien.	Ataque para robar o hacer mal a alguien.	agent ok
y	afuera	adverbio	2929	En la parte exterior de un espacio.	En la parte exterior de un espacio.	agent ok
y	planear	verbo	2930	Preparar una actividad o proyecto antes de hacerla.	Preparar una actividad o proyecto antes de hacerla.	agent ok
y	dignidad	sustantivo	2931	Forma de ser que merece respeto y consideración.	Forma de ser que merece respeto y consideración.	agent ok
y	recinto	sustantivo	2932	Espacio cerrado y separado para un fin.	Espacio cerrado y separado para un fin.	agent ok
y	identificar	verbo	2934	Reconocer algo o a alguien como conocido.	Saber o decir quién es alguien o qué es algo.	agent fix: Circular/vague ('reconocer como conocido')
y	argumento	sustantivo	2935	Razón que se da para defender una idea.	Razón que se da para defender una idea.	agent ok
y	asistir	verbo	2936	Ir a un lugar para participar en un acto.	Ir a un lugar para participar en un acto.	agent ok
y	feria	sustantivo	2937	Evento con exposiciones y atracciones para el público.	Mercado o fiesta con puestos y juegos al aire libre.	agent ok
y	trato	sustantivo	2938	Manera de actuar con otras personas.	Manera de actuar con otras personas.	agent ok
y	foro	sustantivo	2944	Lugar para discutir temas de interés común.	Lugar para discutir temas de interés común.	agent ok
y	deportivo	adjetivo	2945	Que tiene que ver con la práctica de los deportes.	Que tiene que ver con la práctica de los deportes.	agent ok [family flag: deportes]
y	prohibición	sustantivo	2946	Acción de no permitir algo por ley o norma.	Acción de no permitir algo por ley o norma.	agent ok
y	tensión	sustantivo	2947	Estado de preocupación o inquietud entre personas o grupos.	Estado de miedo o de conflicto entre personas o grupos.	agent ok
y	billón	numeral	2949	Número que es igual a un millón de millones.	Número que es igual a un millón de millones.	agent ok
y	reflejar	verbo	2950	Mostrar una imagen o idea en una superficie.	Devolver una superficie la luz o la imagen de algo.	agent fix: 'mostrar una idea en una superficie' is incoherent
y	yarda	sustantivo	2955	Medida de distancia que se emplea en algunos países.	Medida de distancia inglesa, algo menor que un metro.	agent ok
y	parcial	adjetivo	2956	Que solo afecta a una parte de algo mayor.	Que solo afecta a una parte de algo mayor.	agent ok
y	ordenador	sustantivo	2957	Máquina que maneja datos y realiza cálculos.	Máquina que maneja datos y realiza cálculos.	agent ok
y	pertenecer	verbo	2958	Ser parte de un grupo o conjunto determinado.	Ser parte de un grupo o conjunto determinado.	agent ok
y	formato	sustantivo	2964	Forma o tamaño en que se presenta algo.	Forma o tamaño en que se presenta algo.	agent ok
y	asamblea	sustantivo	2968	Reunión de personas para tratar asuntos comunes.	Reunión de personas para tratar asuntos comunes.	agent ok
y	fuga	sustantivo	2969	Salida rápida e ilegal de un lugar cerrado.	Salida rápida e ilegal de un lugar cerrado.	agent ok
y	conforme	adjetivo	2970	Que está de acuerdo con algo o alguien.	Que está de acuerdo con algo o alguien.	agent ok
y	literatura	sustantivo	2974	Conjunto de obras de un idioma.	Arte de escribir novelas, poesía y otras obras.	agent fix: Too vague: any set of works in a language (even dictionaries) fits
y	dormir	verbo	2975	Descansar con los ojos cerrados y sin movimiento.	Cerrar los ojos y perder la conciencia para recuperar fuerzas.	agent ok
y	aquello	pronombre	2976	Palabra que señala algo distante en el tiempo o espacio.	Señala algo que está lejos del que habla.	agent ok
y	captura	sustantivo	2980	Acción de detener a alguien que huía.	Acción de detener a alguien que intenta escapar.	agent ok
y	comprobar	verbo	2983	Verificar si algo es cierto o correcto.	Verificar si algo es cierto o correcto.	agent ok
y	suministro	sustantivo	2984	Entrega regular de bienes o servicios necesarios.	Entrega regular de bienes o servicios necesarios.	agent ok
y	código	sustantivo	2987	Conjunto ordenado de reglas o normas.	Conjunto ordenado de reglas o normas.	agent ok
y	dictador	sustantivo	2989	Persona que gobierna un país con poder absoluto.	Persona que gobierna un país con poder absoluto.	agent ok
y	músico	sustantivo	2993	Persona que toca o hace piezas de música.	Persona que toca o hace piezas de música.	agent ok
y	permanecer	verbo	2994	Mantenerse en un lugar o estado sin cambio.	Mantenerse en un lugar o estado sin cambio.	agent ok
y	show	sustantivo	2997	Espectáculo de música y humor.	Espectáculo que se presenta ante un público.	agent fix: Too narrow: not only music and humor
y	señora	sustantivo	3001	Mujer a la que se trata con respeto o casada.	Mujer mayor de edad; se usa para hablar de ella con respeto.	agent ok
y	secretaria	sustantivo	3002	Mujer que organiza papeles y citas de un jefe.	Mujer que organiza papeles y citas de un jefe.	agent ok
y	desafío	sustantivo	3004	Situación difícil que exige gran esfuerzo.	Situación difícil que exige gran esfuerzo.	agent ok
y	desempeño	sustantivo	3005	Manera en que alguien realiza una tarea.	Manera en que alguien realiza una tarea.	agent ok
y	estima	sustantivo	3006	Sentimiento de consideración hacia alguien.	Sentimiento de consideración hacia alguien.	agent ok
y	definición	sustantivo	3007	Explicación precisa del sentido de una palabra.	Explicación precisa del sentido de una palabra.	agent ok
y	perspectiva	sustantivo	3009	Visión futura o punto de vista sobre algo.	Visión futura o punto de vista sobre algo.	agent ok
y	invierno	sustantivo	3011	Estación del año más fría y con menos luz.	Estación del año más fría y con menos luz.	agent ok
y	expansión	sustantivo	3012	Acción de extender algo en mayor espacio.	Acción de hacer algo más grande o de ocupar más espacio.	agent ok
y	impulso	sustantivo	3014	Fuerza que mueve o anima algo.	Fuerza que hace mover algo o que lleva a hacer algo.	agent ok
y	correspondiente	adjetivo	3015	Que pertenece a algo o va con algo.	Que pertenece a algo o va con algo.	agent ok
y	máquina	sustantivo	3019	Aparato con piezas que realiza trabajo.	Aparato con piezas que realiza trabajo.	agent ok
y	adquirir	verbo	3022	Conseguir algo de forma permanente.	Conseguir algo, sobre todo comprando.	agent fix: 'de forma permanente' is odd and misleading
y	manejo	sustantivo	3025	Acción de dirigir o controlar algo.	Acción de dirigir o controlar algo.	agent ok
y	confesar	verbo	3026	Decir algo que se escondía.	Decir algo que se tenía en secreto.	agent ok
y	explicación	sustantivo	3027	Razón que aclara algo desconocido.	Razón que aclara algo desconocido.	agent ok
y	profundidad	sustantivo	3028	Distancia desde la superficie hacia abajo.	Distancia desde la superficie hacia abajo.	agent ok
y	desaparecido	adjetivo	3029	Que no se encuentra en el lugar donde se espera.	Que no se encuentra en el lugar donde se espera.	agent ok
y	consciente	adjetivo	3030	Que sabe y entiende lo que ocurre a su alrededor.	Que sabe y entiende lo que ocurre a su alrededor.	agent ok
y	escolar	adjetivo	3033	De la educación de niños y jóvenes.	De la educación de niños y jóvenes.	agent ok
y	medalla	sustantivo	3037	Pieza de metal que da un triunfo deportivo.	Pieza de metal que se da como premio a quien gana.	agent fix: Wrong: the medal does not give a triumph, it is given for one
y	cartel	sustantivo	3038	Anuncio grande que se fija en la pared.	Anuncio grande que se fija en la pared.	agent ok
y	madera	sustantivo	3039	Material duro que sale de los árboles.	Material duro que sale de los árboles.	agent ok
y	calma	sustantivo	3040	Ausencia de ruido o de movimiento.	Ausencia de ruido o de movimiento.	agent ok
y	cinta	sustantivo	3042	Banda larga de plástico o material similar.	Banda larga de plástico o material similar.	agent ok
y	estable	adjetivo	3043	Que se mantiene sin cambios ni movimientos.	Que se mantiene sin cambios ni movimientos.	agent ok
y	consistir	verbo	3045	Tener como partes o elementos principales.	Tener como partes o elementos principales.	agent ok
y	decreto	sustantivo	3046	Orden escrita de una autoridad superior.	Orden escrita de una autoridad superior.	agent ok
y	archivo	sustantivo	3049	Lugar donde se guardan papeles o documentos.	Conjunto de documentos que se tienen en un lugar para el futuro.	agent ok
y	celular	adjetivo	3050	De las células de los seres vivos.	De las células de los seres vivos.	agent ok [family flag: celulas]
y	crítico	adjetivo	3052	Que ve algo de forma negativa.	Que ve algo de forma negativa.	agent ok
y	temperatura	sustantivo	3053	Nivel de calor o frío de algo.	Nivel de calor o frío de algo.	agent ok
y	convencer	verbo	3056	Lograr que alguien cambie de idea.	Lograr que alguien cambie de idea.	agent ok
y	continente	sustantivo	3057	Gran extensión de tierra con agua alrededor.	Gran extensión de tierra con agua alrededor.	agent ok
y	baño	sustantivo	3060	Habitación con agua para limpiar el cuerpo.	Habitación de la casa con agua, para el cuidado del cuerpo.	agent ok
y	espectador	sustantivo	3061	Persona que mira un espectáculo o partido.	Persona que mira un espectáculo o partido.	agent ok [family flag: espectaculo]
y	adelantar	verbo	3064	Mover algo hacia adelante o antes de tiempo.	Mover algo hacia adelante o antes de tiempo.	agent ok [family flag: adelante]
y	afrontar	verbo	3065	Hacer frente a un problema o dificultad.	Hacer frente a un problema o dificultad.	agent ok
y	parado	adjetivo	3070	Que está de pie y sin moverse.	Que no se mueve o no funciona.	agent fix: 'de pie' is a regional sense; basic sense is stopped/not moving
y	definitivamente	adverbio	3072	De modo final y sin posibilidad de cambio.	De modo final y sin posibilidad de cambio.	agent ok
y	normalidad	sustantivo	3075	Estado habitual o corriente de algo.	Estado habitual o corriente de algo.	agent ok
y	cometer	verbo	3078	Realizar un error o un delito.	Hacer algo malo o que no se debe.	agent fix: 'Realizar un error' is not idiomatic Spanish
y	mierda	sustantivo	3082	Sustancia que sale del cuerpo de personas o animales.	Resto sólido de la comida que sale del cuerpo.	agent fix: Too vague: sweat, urine, blood also fit
y	probar	verbo	3083	Comprobar si algo funciona o es cierto.	Comprobar si algo funciona o es cierto.	agent ok
y	punta	sustantivo	3085	Extremo delgado o final de un objeto.	Extremo final de algo largo.	agent ok
y	medicamento	sustantivo	3086	Sustancia que se usa para tratar enfermedades.	Sustancia que se usa para tratar enfermedades.	agent ok
y	especialista	sustantivo	3087	Persona que conoce mucho un tema o actividad concreta.	Persona que conoce mucho un tema o actividad concreta.	agent ok
y	cerrado	adjetivo	3088	Que no permite el paso de aire o luz.	Que no está abierto.	agent fix: Odd non-basic sense; basic meaning is simply not open
y	fundación	sustantivo	3089	Entidad que ayuda sin buscar beneficio económico.	Entidad que ayuda sin buscar beneficio económico.	agent ok
y	popularidad	sustantivo	3091	Hecho de ser conocido y gustado por muchos.	Hecho de ser conocido y gustado por muchos.	agent ok
y	portal	sustantivo	3095	Sitio de internet que ofrece varios servicios.	Entrada principal de un edificio.	agent fix: Internet sense is not basic; first sense is a building's entrance
y	autorización	sustantivo	3098	Permiso oficial para realizar una acción.	Permiso oficial para realizar una acción.	agent ok
y	juvenil	adjetivo	3101	Que pertenece a personas jóvenes o adolescentes.	Que pertenece a personas jóvenes o adolescentes.	agent ok
y	refugiado	sustantivo	3102	Persona que sale de su país por peligro.	Persona que sale de su país por peligro.	agent ok
y	debut	sustantivo	3105	Primera actuación de alguien en un campo.	Primera actuación de alguien en un campo.	agent ok
y	plano	sustantivo	3106	Dibujo que muestra un espacio desde arriba.	Dibujo que muestra un espacio desde arriba.	agent ok
y	invertir	verbo	3107	Poner dinero para obtener ganancia futura.	Poner dinero para obtener ganancia futura.	agent ok
y	perfectamente	adverbio	3111	De forma total y sin fallo alguno.	De forma total y sin fallo alguno.	agent ok
y	reactor	sustantivo	3112	Máquina que genera energía nuclear.	Máquina que genera energía nuclear.	agent ok
y	camiseta	sustantivo	3113	Prenda ligera para la parte de arriba del cuerpo.	Prenda ligera para la parte de arriba del cuerpo.	agent ok
y	conducir	verbo	3114	Manejar un automóvil o un camión por una carretera.	Manejar un automóvil o un camión por una carretera.	agent ok
y	exceso	sustantivo	3115	Cantidad que supera lo normal o necesario.	Cantidad que supera lo normal o necesario.	agent ok
y	desconocer	verbo	3116	No tener información sobre algo o alguien.	No tener información sobre algo o alguien.	agent ok
y	confiar	verbo	3117	Sentir seguridad en alguien o algo.	Sentir seguridad en alguien o algo.	agent ok
y	guardia	sustantivo	3119	Persona que protege y vigila un lugar o a alguien.	Persona que protege un lugar o a alguien.	agent ok
y	reiterar	verbo	3122	Decir o hacer algo otra vez.	Decir o hacer algo otra vez.	agent ok
y	plantel	sustantivo	3123	Grupo de personas que forman un equipo.	Grupo de personas que forman un equipo.	agent ok
y	retirada	sustantivo	3125	Acción de irse de un lugar o actividad.	Acción de irse de un lugar o actividad.	agent ok
y	vigente	adjetivo	3130	Que se encuentra en uso o aplicación ahora.	Que se encuentra en uso o aplicación ahora.	agent ok
y	magnitud	sustantivo	3134	Tamaño o importancia grande de algo.	Tamaño o importancia grande de algo.	agent ok
y	racha	sustantivo	3136	Serie de sucesos buenos o malos seguidos.	Serie de sucesos buenos o malos seguidos.	agent ok
y	palacio	sustantivo	3137	Edificio grande y bonito para gobernantes.	Edificio grande y bonito para gobernantes.	agent ok
y	solar	adjetivo	3142	Que tiene que ver con el sol o usa su energía.	Que tiene que ver con el sol o usa su energía.	agent ok
y	iraní	adjetivo	3144	Que tiene que ver con Irán o es propio de allí.	Que tiene que ver con Irán o es propio de allí.	agent ok
y	cuota	sustantivo	3146	Cantidad que se paga o se recibe cada cierto tiempo.	Cantidad que se paga o se recibe cada cierto tiempo.	agent ok
y	nombrar	verbo	3147	Decir el nombre de alguien o algo.	Decir el nombre de alguien o algo.	agent ok
y	plantear	verbo	3151	Presentar un asunto para que se vea.	Presentar un problema o una idea para pensar sobre ellos.	agent fix: 'para que se vea' is vague and misses the meaning
y	coordinación	sustantivo	3153	Acción de organizar elementos para que actúen juntos.	Acción de organizar a varios para un trabajo en común.	agent ok
y	maestro	sustantivo	3154	Persona que explica una materia o un arte.	Persona que explica una materia o un arte.	agent ok
y	nacionalidad	sustantivo	3160	Condición de pertenecer a una nación concreta.	Condición de pertenecer a una nación concreta.	agent ok [family flag: nacion]
y	colega	sustantivo	3161	Persona que tiene la misma profesión que otra.	Persona que tiene la misma profesión que otra.	agent ok
y	espectacular	adjetivo	3162	Que causa gran sorpresa por su belleza o tamaño.	Que causa gran sorpresa por su belleza o tamaño.	agent ok
y	ruido	sustantivo	3163	Sonido fuerte que causa malestar.	Sonido fuerte que causa malestar.	agent ok
y	piedra	sustantivo	3165	Material duro y sólido que se encuentra en la naturaleza.	Material duro y sólido que se encuentra en la naturaleza.	agent ok
y	levantar	verbo	3167	Elevar algo o a alguien desde un lugar bajo.	Elevar algo o a alguien desde un lugar bajo.	agent ok
y	renunciar	verbo	3169	Dejar un cargo o un derecho por decisión propia.	Dejar un cargo o un derecho por decisión propia.	agent ok
y	urna	sustantivo	3171	Caja donde se ponen los votos en unas elecciones.	Caja donde se ponen los votos en unas elecciones.	agent ok
y	mecanismo	sustantivo	3174	Conjunto de piezas que produce un movimiento.	Conjunto de piezas que produce un movimiento.	agent ok
y	urgencia	sustantivo	3175	Necesidad de actuar con rapidez y sin espera.	Necesidad de actuar con rapidez y sin espera.	agent ok
y	invitado	sustantivo	3177	Persona que va a un evento por invitación de otra.	Persona a quien se pide que vaya a una fiesta o acto.	agent fix: Uses family word 'invitación'
y	niña	sustantivo	3179	Persona de sexo femenino de corta edad.	Persona de sexo femenino de corta edad.	agent ok
y	gratuito	adjetivo	3181	Que no cuesta dinero ni exige pago.	Que no cuesta dinero ni exige pago.	agent ok
y	previsión	sustantivo	3182	Cálculo de lo que puede suceder en el futuro.	Cálculo de lo que puede suceder en el futuro.	agent ok
y	sospechoso	adjetivo	3183	Que hace pensar en una falta o delito.	Que hace pensar en una falta o delito.	agent ok
y	útil	adjetivo	3187	Que sirve para conseguir un fin o propósito.	Que sirve para conseguir un fin o propósito.	agent ok
y	arresto	sustantivo	3188	Acción de detener a alguien por orden judicial.	Acción de detener a alguien por orden judicial.	agent ok
y	fallecido	sustantivo	3190	Persona que ha muerto hace poco tiempo.	Persona que ha muerto.	agent fix: 'hace poco tiempo' is not part of the meaning
y	individuo	sustantivo	3193	Persona considerada de forma distinta de las demás.	Cada persona, vista aparte del grupo.	agent fix: Unclear/wrong ('considerada de forma distinta de las demás')
y	escapar	verbo	3194	Salir de un lugar sin que nadie lo impida.	Salir de un lugar donde se estaba preso o en peligro.	agent ok
y	prevención	sustantivo	3195	Medidas para evitar que algo malo ocurra.	Medidas para evitar que algo malo ocurra.	agent ok
y	equivalente	adjetivo	3199	Que tiene el mismo valor o efecto que otra cosa.	Que tiene el mismo valor o efecto que otra cosa.	agent ok
y	votante	sustantivo	3200	Persona que participa en una elección.	Persona que participa en una elección.	agent ok
y	tabla	sustantivo	3202	Lista de datos colocados en filas y columnas.	Pieza de madera larga, ancha y de poca altura.	agent fix: basic sense is a board of wood, not a data table
y	cuánto	determinante	3204	Palabra que pregunta por una cantidad.	Sirve para preguntar por una cantidad.	agent fix: Starts with 'Palabra que', which is forbidden
y	despacho	sustantivo	3206	Lugar donde trabaja un profesional.	Lugar donde trabaja un profesional.	agent ok
y	inteligente	adjetivo	3207	Que aprende con facilidad y piensa bien.	Que aprende con facilidad y piensa bien.	agent ok
y	facilitar	verbo	3209	Hacer algo más fácil para alguien.	Hacer algo más fácil para alguien.	agent ok
y	relacionar	verbo	3212	Establecer conexión entre cosas o personas.	Establecer conexión entre cosas o personas.	agent ok
y	operador	sustantivo	3214	Persona que maneja un aparato o sistema.	Persona que maneja un aparato o sistema.	agent ok
y	directivo	sustantivo	3215	Miembro que dirige una organización.	Miembro que dirige una organización.	agent ok
y	basar	verbo	3216	Apoyar algo en hechos o razones.	Apoyar algo en hechos o razones.	agent ok
y	gala	sustantivo	3218	Evento formal con ropa buena.	Evento formal con ropa buena.	agent ok
y	inauguración	sustantivo	3220	Acto de abrir algo por primera vez.	Acto de abrir algo por primera vez.	agent ok
y	gobernar	verbo	3221	Dirigir un país o región con autoridad.	Dirigir un país o región con autoridad.	agent ok
y	bar	sustantivo	3226	Lugar donde se sirven bebidas.	Lugar donde se sirven bebidas.	agent ok
y	secuestro	sustantivo	3232	Acción de llevarse a alguien por la fuerza.	Acción de llevarse a alguien por la fuerza.	agent ok
y	débil	adjetivo	3234	Que tiene poca fuerza o resistencia.	Que tiene poca fuerza o resistencia.	agent ok
y	juventud	sustantivo	3237	Etapa de la vida entre niño y adulto.	Etapa de la vida entre niño y adulto.	agent ok
y	milla	sustantivo	3239	Medida de distancia equivalente a mil seiscientos nueve metros.	Medida de distancia de algo más de un kilómetro y medio.	agent ok
y	multa	sustantivo	3242	Dinero que se paga por no seguir una norma.	Dinero que se paga por no seguir una norma.	agent ok
y	seguimiento	sustantivo	3245	Acción de observar o controlar algo con atención.	Acción de observar o controlar algo con atención.	agent ok
y	lector	sustantivo	3255	Persona que lee un texto escrito.	Persona que sigue con la vista un texto y lo entiende.	agent fix: Uses family word 'lee'
y	tormenta	sustantivo	3259	Fenómeno con lluvia fuerte y viento.	Fenómeno con lluvia fuerte y viento.	agent ok
y	autobús	sustantivo	3260	Vehículo grande para llevar muchas personas por calles.	Vehículo grande para llevar muchas personas por calles.	agent ok
y	preciso	adjetivo	3261	Que tiene exactitud y no presenta errores.	Que no tiene errores y dice las cosas tal como son.	agent ok
y	emoción	sustantivo	3262	Sentimiento fuerte que cambia el ánimo.	Sentimiento fuerte que cambia el ánimo.	agent ok
y	caro	adjetivo	3263	Que cuesta mucho dinero.	Que cuesta mucho dinero.	agent ok
y	mapa	sustantivo	3266	Representación de un territorio.	Dibujo de un territorio visto desde arriba.	agent fix: Too vague: 'representation' also fits paintings or models
y	individual	adjetivo	3267	Que pertenece o afecta a una sola persona.	Que pertenece o afecta a una sola persona.	agent ok
y	árbol	sustantivo	3268	Planta alta con tronco y ramas.	Planta alta de madera, con hojas.	agent ok
y	movilización	sustantivo	3269	Acción de reunir gente para una causa.	Acción de reunir gente para una causa.	agent ok
y	temprano	adverbio	3270	En las primeras horas del día.	En las primeras horas del día.	agent ok
y	raro	adjetivo	3274	Que ocurre pocas veces o sorprende.	Que ocurre pocas veces o sorprende.	agent ok
y	prometer	verbo	3277	Asegurar que se va a hacer algo.	Asegurar que se va a hacer algo.	agent ok
y	adicional	adjetivo	3278	Que se suma a algo ya existente.	Que se suma a algo ya existente.	agent ok
y	disparar	verbo	3279	Hacer que salga una bala de un arma.	Hacer que salga una bala de un arma.	agent ok
y	congreso	sustantivo	3280	Reunión de personas para tratar un tema.	Gran reunión de expertos que hablan de un tema durante varios días.	agent fix: Too vague: identical in substance to "junta"; needs what sets a congress apart.
y	adolescente	sustantivo	3281	Persona que ya no es niña pero tampoco mayor.	Joven que ya no es niño pero aún no es adulto.	agent fix: "mayor" is ambiguous (can mean elderly); state child-to-adult stage clearly.
y	equilibrio	sustantivo	3283	Estado en que algo se mantiene estable.	Estado en que algo se mantiene estable.	agent ok
y	detallar	verbo	3284	Explicar algo con todos sus aspectos.	Explicar algo con todos sus aspectos.	agent ok
y	durar	verbo	3290	Mantenerse durante cierto tiempo.	Seguir pasando o funcionando por un tiempo.	agent fix: "durante" is the headword's own family (durar).
y	ingresar	verbo	3291	Entrar en un lugar o grupo.	Entrar en un lugar o grupo.	agent ok
y	primavera	sustantivo	3294	Estación del año entre invierno y verano.	Estación del año entre invierno y verano.	agent ok
y	urgente	adjetivo	3295	Que necesita atención inmediata.	Que necesita atención inmediata.	agent ok
y	igualmente	adverbio	3296	De la misma manera o también.	De la misma manera o también.	agent ok
y	regalo	sustantivo	3299	Objeto que se da a alguien sin pedir nada.	Cosa que se da a alguien sin pedir nada a cambio.	agent fix: "sin pedir nada" is incomplete/ambiguous without "a cambio".
y	suceso	sustantivo	3303	Hecho que ocurre en un lugar y tiempo.	Hecho que ocurre en un lugar y tiempo.	agent ok
y	símbolo	sustantivo	3304	Objeto o imagen que representa otra cosa.	Objeto o imagen que representa otra cosa.	agent ok
y	mamá	sustantivo	3306	Mujer que tiene uno o más hijos.	Forma familiar de llamar a la madre.	agent fix: Defined as "madre"; mamá is the familiar way to say mother.
y	método	sustantivo	3307	Forma clara de hacer algo.	Manera de hacer algo con orden, siguiendo unos pasos.	agent fix: "clara" misses the core idea of a systematic, step-by-step way.
y	acontecimiento	sustantivo	3310	Hecho importante que ocurre.	Hecho importante que ocurre.	agent ok
y	camioneta	sustantivo	3312	Vehículo más grande que un automóvil.	Vehículo más pequeño que un camión, para llevar carga.	agent fix: Too vague and misleading: many vehicles are bigger than a car; a camioneta is a small truck/van. [family flag: camion]
y	intercambio	sustantivo	3314	Acción de dar algo y recibir otra cosa.	Acción de dar algo y recibir otra cosa.	agent ok
y	reflexión	sustantivo	3315	Pensamiento que considera con atención un asunto.	Pensamiento que considera con atención un asunto.	agent ok
y	convocar	verbo	3316	Llamar a personas para que vayan a un acto.	Llamar a personas para que vayan a un acto.	agent ok
y	bronce	sustantivo	3318	Metal de color oscuro que se usa en figuras.	Mezcla de cobre y otro metal, de color entre rojo y oro.	agent fix: Bronze is not "dark"; say what it is and its color.
y	pintura	sustantivo	3319	Obra hecha con colores sobre una superficie.	Obra hecha con colores sobre una superficie.	agent ok
